Period,Capital,Description,Latitude,Longitude
Colonial Period,St. Augustine,Florida - Founded in 1565, oldest continuously inhabited European-established settlement in the continental United States,29.9012,-81.3122
Colonial Period,Jamestown,Virginia - First permanent English settlement in North America (founded in 1607),37.2006,-76.7745
Revolutionary War,Philadelphia,Capital during the Continental Congress (1776-1783),39.9526,-75.1652
United States Capital,New York City,First capital of the United States under the Constitution (1785-1790),40.7128,-74.0060
United States Capital,Philadelphia,Temporary capital while Washington, D.C. was being built (1790-1800),39.9526,-75.1652
Federal Capital,Washington, D.C.,Designated as the capital of the United States in 1790 and officially became the capital in 1800,38.9072,-77.0369
Temporary Capital,York,Pennsylvania - Briefly served as the capital during the Revolutionary War (1777),39.9683,-76.7314
Temporary Capital,Princeton,Pennsylvania - Served as the capital for a short time after Philadelphia (1783),40.3573,-74.6672
Temporary Capital,Trenton,Pennsylvania - Meeting place of the Congress of the Confederation (1784),40.2171,-74.7429
Temporary Capital,Annapolis,Maryland - Served as the capital of the United States during a brief period (1783-1784),38.9784,-76.4911
Territory Capital,San Juan,Puerto Rico - Capital of the territory of Puerto Rico,18.4655,-66.1057
Territory Capital,Hagåtña,Guam - Capital of the territory of Guam,13.4774,144.7445
State Capital,Honolulu,Hawaii - Became a state capital in 1959,21.3069,-157.8583
